Entity,Code,Year,Global precipitation anomaly
World,OWID_WRL,1901,-8.824504754
World,OWID_WRL,1902,-48.69452628
World,OWID_WRL,1903,19.88551075
World,OWID_WRL,1904,-37.69452034
World,OWID_WRL,1905,-9.454505094
World,OWID_WRL,1906,34.20551848
World,OWID_WRL,1907,7.365503989
World,OWID_WRL,1908,-28.21451522
World,OWID_WRL,1909,-10.37450559
World,OWID_WRL,1910,7.235503919
World,OWID_WRL,1911,-11.17450602
World,OWID_WRL,1912,0.165500101
World,OWID_WRL,1913,-10.17450548
World,OWID_WRL,1914,-14.91450804
World,OWID_WRL,1915,24.9855135
World,OWID_WRL,1916,33.09551788
World,OWID_WRL,1917,-8.22450443
World,OWID_WRL,1918,-13.80450744
World,OWID_WRL,1919,-24.88451343
World,OWID_WRL,1920,-7.674504133
World,OWID_WRL,1921,8.375504534
World,OWID_WRL,1922,19.59551059
World,OWID_WRL,1923,-7.314503938
World,OWID_WRL,1924,-8.544504603
World,OWID_WRL,1925,-35.72451928
World,OWID_WRL,1926,-5.254502826
World,OWID_WRL,1927,3.485501894
World,OWID_WRL,1928,-5.434502923
World,OWID_WRL,1929,-37.66452033
World,OWID_WRL,1930,-23.77451283
World,OWID_WRL,1931,9.735505269
World,OWID_WRL,1932,-4.954502664
World,OWID_WRL,1933,-18.46450996
World,OWID_WRL,1934,-14.97450807
World,OWID_WRL,1935,1.735500949
World,OWID_WRL,1936,-22.11451193
World,OWID_WRL,1937,-20.83451124
World,OWID_WRL,1938,2.0155011
World,OWID_WRL,1939,-25.54451378
World,OWID_WRL,1940,-30.40451641
World,OWID_WRL,1941,-3.514501886
World,OWID_WRL,1942,-27.30451473
World,OWID_WRL,1943,-39.2845212
World,OWID_WRL,1944,-35.51451917
World,OWID_WRL,1945,-1.464500779
World,OWID_WRL,1946,-16.04450865
World,OWID_WRL,1947,-9.474505105
World,OWID_WRL,1948,-6.554503528
World,OWID_WRL,1949,1.165500641
World,OWID_WRL,1950,34.73551877
World,OWID_WRL,1951,-4.244502281
World,OWID_WRL,1952,2.595501413
World,OWID_WRL,1953,24.46551322
World,OWID_WRL,1954,36.35551964
World,OWID_WRL,1955,35.47551917
World,OWID_WRL,1956,61.32553313
World,OWID_WRL,1957,16.99550919
World,OWID_WRL,1958,-8.634504651
World,OWID_WRL,1959,43.47552349
World,OWID_WRL,1960,2.77550151
World,OWID_WRL,1961,22.12551196
World,OWID_WRL,1962,-10.96450591
World,OWID_WRL,1963,-12.07450651
World,OWID_WRL,1964,0.195500117
World,OWID_WRL,1965,-10.7645058
World,OWID_WRL,1966,-10.48450565
World,OWID_WRL,1967,0.265500155
World,OWID_WRL,1968,-12.68450684
World,OWID_WRL,1969,18.62551007
World,OWID_WRL,1970,48.51552621
World,OWID_WRL,1971,33.22551795
World,OWID_WRL,1972,-21.28451148
World,OWID_WRL,1973,53.66552899
World,OWID_WRL,1974,81.95554427
World,OWID_WRL,1975,51.03552757
World,OWID_WRL,1976,-1.044500553
World,OWID_WRL,1977,0.755500419
World,OWID_WRL,1978,21.61551168
World,OWID_WRL,1979,8.40550455
World,OWID_WRL,1980,-17.09450922
World,OWID_WRL,1981,-1.09450058
World,OWID_WRL,1982,-34.4745186
World,OWID_WRL,1983,29.7855161
World,OWID_WRL,1984,33.65551819
World,OWID_WRL,1985,20.86551128
World,OWID_WRL,1986,-28.56451541
World,OWID_WRL,1987,-11.97450645
World,OWID_WRL,1988,36.87551992
World,OWID_WRL,1989,13.33550721
World,OWID_WRL,1990,55.26552985
World,OWID_WRL,1991,-32.70451765
World,OWID_WRL,1992,-30.43451642
World,OWID_WRL,1993,-25.49451376
World,OWID_WRL,1994,-45.08452433
World,OWID_WRL,1995,-16.34450881
World,OWID_WRL,1996,1.365500749
World,OWID_WRL,1997,-26.3245142
World,OWID_WRL,1998,36.32551963
World,OWID_WRL,1999,-6.684503598
World,OWID_WRL,2000,3.615501964
World,OWID_WRL,2001,16.97550918
World,OWID_WRL,2002,-0.254500126
World,OWID_WRL,2003,-3.174501703
World,OWID_WRL,2004,28.43551537
World,OWID_WRL,2005,14.28550773
World,OWID_WRL,2006,26.18551415
World,OWID_WRL,2007,42.3955229
World,OWID_WRL,2008,32.87551776
World,OWID_WRL,2009,23.17551253
World,OWID_WRL,2010,98.00555293
World,OWID_WRL,2011,57.395531
World,OWID_WRL,2012,43.64552358
World,OWID_WRL,2013,32.84551775
World,OWID_WRL,2014,-29.94451616
World,OWID_WRL,2015,-24.36451315
World,OWID_WRL,2016,48.48552619
World,OWID_WRL,2017,17.17550929
World,OWID_WRL,2018,12.43550673
World,OWID_WRL,2019,-4.374502351
